file,bug,bf,loc,hcm
org::eclipse::jdt::core::BindingKey,0,7,82,17.6471
org::eclipse::jdt::core::BufferChangedEvent,0,0,18,6.70304
org::eclipse::jdt::core::CheckDebugAttributes,0,3,50,10.4982
org::eclipse::jdt::core::ClasspathContainerInitializer,0,4,69,7.05208
org::eclipse::jdt::core::ClasspathVariableInitializer,0,0,3,4.07501
org::eclipse::jdt::core::compiler::batch::BatchCompiler,0,1,6,2.2601
org::eclipse::jdt::core::compiler::BuildContext,0,3,56,3.92315
org::eclipse::jdt::core::compiler::CategorizedProblem,0,4,6,8.58795
org::eclipse::jdt::core::compiler::CharOperation,0,20,845,27.6193
org::eclipse::jdt::core::compiler::CompilationParticipant,1,5,24,12.3914
org::eclipse::jdt::core::compiler::CompilationProgress,0,1,0,0
org::eclipse::jdt::core::compiler::InvalidInputException,0,1,3,7.82241
org::eclipse::jdt::core::compiler::ReconcileContext,0,4,44,7.99162
org::eclipse::jdt::core::CompletionContext,1,14,123,10.2625
org::eclipse::jdt::core::CompletionFlags,0,1,6,0
org::eclipse::jdt::core::CompletionProposal,1,19,347,20.2197
org::eclipse::jdt::core::CompletionRequestor,0,10,79,13.4356
org::eclipse::jdt::core::CompletionRequestorAdapter,0,0,42,5.07933
org::eclipse::jdt::core::CorrectionEngine,1,6,128,13.0232
org::eclipse::jdt::core::dom::AbstractTypeDeclaration,0,6,61,4.13346
org::eclipse::jdt::core::dom::Annotation,0,5,53,7.93371
org::eclipse::jdt::core::dom::AnnotationBinding,2,11,190,10.0587
org::eclipse::jdt::core::dom::AnnotationTypeDeclaration,0,6,98,6.84846
org::eclipse::jdt::core::dom::AnnotationTypeMemberDeclaration,0,8,170,6.84846
org::eclipse::jdt::core::dom::AnonymousClassDeclaration,0,7,53,7.95479
org::eclipse::jdt::core::dom::ArrayAccess,0,8,109,7.95479
org::eclipse::jdt::core::dom::ArrayCreation,0,9,110,9.64599
org::eclipse::jdt::core::dom::ArrayInitializer,0,5,45,7.95479
org::eclipse::jdt::core::dom::ArrayType,0,9,87,7.95479
org::eclipse::jdt::core::dom::AssertStatement,0,8,98,7.95479
org::eclipse::jdt::core::dom::Assignment,0,9,132,7.95479
org::eclipse::jdt::core::dom::AST,0,66,804,24.6967
org::eclipse::jdt::core::dom::ASTConverter,1,196,1947,37.2855
org::eclipse::jdt::core::dom::ASTMatcher,0,11,52,7.97103
org::eclipse::jdt::core::dom::ASTNode,0,26,657,14.5995
org::eclipse::jdt::core::dom::ASTParser,1,38,426,28.8029
org::eclipse::jdt::core::dom::ASTRecoveryPropagator,0,7,261,8.11626
org::eclipse::jdt::core::dom::ASTRequestor,0,2,20,2.96868
org::eclipse::jdt::core::dom::ASTSyntaxErrorPropagator,0,6,62,6.89725
org::eclipse::jdt::core::dom::ASTVisitor,0,5,15,7.97103
org::eclipse::jdt::core::dom::BindingComparator,0,19,3,18.3087
org::eclipse::jdt::core::dom::BindingResolver,0,23,105,14.6512
org::eclipse::jdt::core::dom::Block,0,5,47,7.95479
org::eclipse::jdt::core::dom::BlockComment,0,3,31,7.95479
org::eclipse::jdt::core::dom::BodyDeclaration,0,6,74,2.96868
org::eclipse::jdt::core::dom::BooleanLiteral,0,5,52,7.95479
org::eclipse::jdt::core::dom::BreakStatement,0,6,59,7.95479
org::eclipse::jdt::core::dom::CastExpression,0,8,106,7.95479
org::eclipse::jdt::core::dom::CatchClause,0,8,107,7.95479
org::eclipse::jdt::core::dom::CharacterLiteral,1,9,220,14.7589
org::eclipse::jdt::core::dom::ChildListPropertyDescriptor,0,1,14,6.70304
org::eclipse::jdt::core::dom::ChildPropertyDescriptor,0,1,18,6.70304
org::eclipse::jdt::core::dom::ClassInstanceCreation,0,14,208,9.64335
org::eclipse::jdt::core::dom::Comment,0,0,24,4.07501
org::eclipse::jdt::core::dom::CompilationUnit,0,38,344,21.3966
org::eclipse::jdt::core::dom::CompilationUnitResolver,0,54,282,29.1299
org::eclipse::jdt::core::dom::ConditionalExpression,0,8,141,7.95479
org::eclipse::jdt::core::dom::ConstructorInvocation,0,7,76,6.84846
org::eclipse::jdt::core::dom::ContinueStatement,0,6,59,7.95479
org::eclipse::jdt::core::dom::DefaultASTVisitor,0,7,15,7.76307
org::eclipse::jdt::core::dom::DefaultBindingResolver,1,110,1106,31.5924
org::eclipse::jdt::core::dom::DefaultCommentMapper,0,24,393,12.8915
org::eclipse::jdt::core::dom::DefaultValuePairBinding,0,5,20,1.66466
org::eclipse::jdt::core::dom::DocCommentParser,1,36,638,16.6898
org::eclipse::jdt::core::dom::DoStatement,0,10,106,7.95479
org::eclipse::jdt::core::dom::EmptyStatement,0,5,29,7.95479
org::eclipse::jdt::core::dom::EnhancedForStatement,0,5,141,6.84846
org::eclipse::jdt::core::dom::EnumConstantDeclaration,0,9,141,8.43242
org::eclipse::jdt::core::dom::EnumDeclaration,0,8,118,6.84846
org::eclipse::jdt::core::dom::Expression,0,2,15,2.96868
org::eclipse::jdt::core::dom::ExpressionStatement,0,8,72,7.95479
org::eclipse::jdt::core::dom::FieldAccess,0,10,109,7.95479
org::eclipse::jdt::core::dom::FieldDeclaration,0,13,136,8.43242
org::eclipse::jdt::core::dom::ForStatement,0,11,117,7.95479
org::eclipse::jdt::core::dom::IfStatement,0,10,128,7.95479
org::eclipse::jdt::core::dom::ImportDeclaration,0,10,121,8.43242
org::eclipse::jdt::core::dom::InfixExpression,0,11,158,7.95479
org::eclipse::jdt::core::dom::Initializer,0,11,125,6.84846
org::eclipse::jdt::core::dom::InstanceofExpression,0,8,106,7.95479
org::eclipse::jdt::core::dom::InternalASTRewrite,0,3,163,7.06348
org::eclipse::jdt::core::dom::Javadoc,0,8,108,6.84846
org::eclipse::jdt::core::dom::LabeledStatement,0,9,107,7.95479
org::eclipse::jdt::core::dom::LineComment,0,3,31,7.95479
org::eclipse::jdt::core::dom::MarkerAnnotation,0,4,54,5.59671
org::eclipse::jdt::core::dom::MemberRef,0,3,95,6.70304
org::eclipse::jdt::core::dom::MemberValuePair,0,6,109,8.03932
org::eclipse::jdt::core::dom::MemberValuePairBinding,0,6,152,3.42644
org::eclipse::jdt::core::dom::Message,0,2,27,5.26021
org::eclipse::jdt::core::dom::MethodBinding,0,59,290,34.7321
org::eclipse::jdt::core::dom::MethodDeclaration,0,15,319,7.18067
org::eclipse::jdt::core::dom::MethodInvocation,0,11,137,8.63149
org::eclipse::jdt::core::dom::MethodRef,0,3,109,6.70304
org::eclipse::jdt::core::dom::MethodRefParameter,0,5,121,5.59671
org::eclipse::jdt::core::dom::Modifier,0,6,96,7.27499
org::eclipse::jdt::core::dom::Name,0,2,22,6.70304
org::eclipse::jdt::core::dom::NodeEventHandler,0,2,43,6.44569
org::eclipse::jdt::core::dom::NodeSearcher,0,1,11,4.07501
org::eclipse::jdt::core::dom::NormalAnnotation,0,4,67,5.59671
org::eclipse::jdt::core::dom::NullLiteral,0,5,31,7.95479
org::eclipse::jdt::core::dom::NumberLiteral,0,7,97,10.8068
org::eclipse::jdt::core::dom::PackageBinding,0,18,155,19.5611
org::eclipse::jdt::core::dom::PackageDeclaration,0,11,130,9.21914
org::eclipse::jdt::core::dom::ParameterizedType,0,6,88,6.78585
org::eclipse::jdt::core::dom::ParenthesizedExpression,0,8,71,7.95479
org::eclipse::jdt::core::dom::PostfixExpression,0,8,96,7.95479
org::eclipse::jdt::core::dom::PrefixExpression,0,8,97,7.95479
org::eclipse::jdt::core::dom::PrimitiveType,0,7,59,7.95479
org::eclipse::jdt::core::dom::QualifiedName,0,14,110,6.36941
org::eclipse::jdt::core::dom::QualifiedType,0,6,107,6.78585
org::eclipse::jdt::core::dom::RecoveredTypeBinding,0,10,402,7.87568
org::eclipse::jdt::core::dom::RecoveredVariableBinding,0,4,87,2.38353
org::eclipse::jdt::core::dom::ReturnStatement,0,6,60,7.95479
org::eclipse::jdt::core::dom::rewrite::ASTRewrite,1,13,281,22.3224
org::eclipse::jdt::core::dom::rewrite::ImportRewrite,0,7,356,8.98775
org::eclipse::jdt::core::dom::rewrite::ListRewrite,0,3,128,8.43424
org::eclipse::jdt::core::dom::rewrite::TargetSourceRangeComputer,0,2,11,5.76357
org::eclipse::jdt::core::dom::SimpleName,0,13,124,10.6043
org::eclipse::jdt::core::dom::SimplePropertyDescriptor,0,1,14,6.70304
org::eclipse::jdt::core::dom::SimpleType,0,9,72,7.95479
org::eclipse::jdt::core::dom::SingleMemberAnnotation,0,5,87,5.59671
org::eclipse::jdt::core::dom::SingleVariableDeclaration,0,13,257,6.84846
org::eclipse::jdt::core::dom::Statement,0,7,48,4.07501
org::eclipse::jdt::core::dom::StringLiteral,1,10,166,11.4275
org::eclipse::jdt::core::dom::StructuralPropertyDescriptor,0,1,44,6.70304
org::eclipse::jdt::core::dom::SuperConstructorInvocation,0,8,101,6.84846
org::eclipse::jdt::core::dom::SuperFieldAccess,0,10,96,7.95479
org::eclipse::jdt::core::dom::SuperMethodInvocation,0,11,136,8.63149
org::eclipse::jdt::core::dom::SwitchCase,0,9,75,7.95479
org::eclipse::jdt::core::dom::SwitchStatement,0,9,86,9.21692
org::eclipse::jdt::core::dom::SynchronizedStatement,0,8,106,7.95479
org::eclipse::jdt::core::dom::TagElement,0,9,70,7.95479
org::eclipse::jdt::core::dom::TextElement,0,5,63,10.4485
org::eclipse::jdt::core::dom::ThisExpression,0,8,59,7.95479
org::eclipse::jdt::core::dom::ThrowStatement,0,8,72,7.95479
org::eclipse::jdt::core::dom::TryStatement,0,8,108,7.95479
org::eclipse::jdt::core::dom::Type,0,2,24,2.96868
org::eclipse::jdt::core::dom::TypeBinding,1,89,952,33.5493
org::eclipse::jdt::core::dom::TypeDeclaration,0,18,303,10.2923
org::eclipse::jdt::core::dom::TypeDeclarationStatement,0,12,123,9.21914
org::eclipse::jdt::core::dom::TypeLiteral,0,8,72,7.95479
org::eclipse::jdt::core::dom::TypeParameter,0,5,91,8.43242
org::eclipse::jdt::core::dom::VariableBinding,0,32,232,20.5304
org::eclipse::jdt::core::dom::VariableDeclaration,0,3,15,4.07501
org::eclipse::jdt::core::dom::VariableDeclarationExpression,0,11,156,6.84846
org::eclipse::jdt::core::dom::VariableDeclarationFragment,0,10,127,7.95479
org::eclipse::jdt::core::dom::VariableDeclarationStatement,0,11,155,6.84846
org::eclipse::jdt::core::dom::WhileStatement,0,9,106,7.95479
org::eclipse::jdt::core::dom::WildcardType,0,4,80,6.84846
org::eclipse::jdt::core::ElementChangedEvent,0,0,10,7.70736
org::eclipse::jdt::core::Flags,0,2,95,7.83265
org::eclipse::jdt::core::formatter::CodeFormatter,0,13,3,10.425
org::eclipse::jdt::core::formatter::CodeFormatterApplication,0,6,200,12.4195
org::eclipse::jdt::core::formatter::DefaultCodeFormatterConstants,2,62,177,26.6608
org::eclipse::jdt::core::formatter::IndentManipulation,0,3,235,6.49924
org::eclipse::jdt::core::JavaConventions,1,24,219,18.7552
org::eclipse::jdt::core::JavaCore,4,172,1058,45.5046
org::eclipse::jdt::core::JavaModelException,0,3,52,6.00951
org::eclipse::jdt::core::jdom::DOMException,0,1,3,4.07501
org::eclipse::jdt::core::jdom::DOMFactory,0,3,52,8.22982
org::eclipse::jdt::core::JDTCompilerAdapter,0,30,21,15.5832
org::eclipse::jdt::core::NamingConventions,2,9,142,9.2993
org::eclipse::jdt::core::search::FieldDeclarationMatch,0,0,3,4.07501
org::eclipse::jdt::core::search::FieldReferenceMatch,1,3,11,6.22874
org::eclipse::jdt::core::search::LocalVariableDeclarationMatch,0,0,3,4.07501
org::eclipse::jdt::core::search::LocalVariableReferenceMatch,0,2,12,4.07501
org::eclipse::jdt::core::search::MethodDeclarationMatch,0,0,3,4.07501
org::eclipse::jdt::core::search::MethodReferenceMatch,1,9,13,9.97058
org::eclipse::jdt::core::search::PackageDeclarationMatch,0,0,3,4.07501
org::eclipse::jdt::core::search::PackageReferenceMatch,1,2,3,6.65039
org::eclipse::jdt::core::search::ReferenceMatch,1,1,10,0
org::eclipse::jdt::core::search::SearchDocument,1,2,16,4.07501
org::eclipse::jdt::core::search::SearchEngine,0,41,54,23.9899
org::eclipse::jdt::core::search::SearchMatch,0,13,111,8.50274
org::eclipse::jdt::core::search::SearchParticipant,0,11,30,13.6626
org::eclipse::jdt::core::search::SearchPattern,1,37,1126,28.279
org::eclipse::jdt::core::search::SearchRequestor,0,1,12,4.07501
org::eclipse::jdt::core::search::TypeDeclarationMatch,0,0,3,4.07501
org::eclipse::jdt::core::search::TypeNameMatch,0,10,23,5.79221
org::eclipse::jdt::core::search::TypeNameMatchRequestor,0,3,0,1.78303
org::eclipse::jdt::core::search::TypeNameRequestor,0,3,3,5.99114
org::eclipse::jdt::core::search::TypeParameterDeclarationMatch,0,1,3,3.29051
org::eclipse::jdt::core::search::TypeParameterReferenceMatch,0,1,4,3.29051
org::eclipse::jdt::core::search::TypeReferenceMatch,2,6,16,8.6615
org::eclipse::jdt::core::Signature,1,37,841,26.5988
org::eclipse::jdt::core::ToolFactory,0,15,63,17.0375
org::eclipse::jdt::core::util::ByteCodeVisitorAdapter,1,0,612,4.07501
org::eclipse::jdt::core::util::ClassFileBytesDisassembler,0,2,0,3.83244
org::eclipse::jdt::core::util::ClassFormatException,0,0,3,4.07501
org::eclipse::jdt::core::util::CompilationUnitSorter,0,5,19,14.6865
org::eclipse::jdt::core::util::OpcodeStringValues,1,2,0,7.48389
org::eclipse::jdt::core::WorkingCopyOwner,0,3,17,15.6356
org::eclipse::jdt::internal::antadapter::AntAdapterMessages,0,1,12,4.07501
org::eclipse::jdt::internal::codeassist::complete::CompletionJavadoc,0,1,222,5.0061
org::eclipse::jdt::internal::codeassist::complete::CompletionJavadocParser,0,26,768,15.3647
org::eclipse::jdt::internal::codeassist::complete::CompletionNodeDetector,0,3,29,9.58612
org::eclipse::jdt::internal::codeassist::complete::CompletionNodeFound,0,1,3,6.94335
org::eclipse::jdt::internal::codeassist::complete::CompletionOnAnnotationMemberValuePair,0,0,32,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnAnnotationOfType,0,3,10,3.00217
org::eclipse::jdt::internal::codeassist::complete::CompletionOnArgumentName,0,2,27,4.07501
org::eclipse::jdt::internal::codeassist::complete::CompletionOnBrankStatementLabel,0,1,23,2.36846
org::eclipse::jdt::internal::codeassist::complete::CompletionOnClassLiteralAccess,0,0,17,4.07501
org::eclipse::jdt::internal::codeassist::complete::CompletionOnExplicitConstructorCall,0,0,41,4.07501
org::eclipse::jdt::internal::codeassist::complete::CompletionOnFieldName,0,2,20,7.8386
org::eclipse::jdt::internal::codeassist::complete::CompletionOnFieldType,0,1,14,4.07501
org::eclipse::jdt::internal::codeassist::complete::CompletionOnImportReference,0,0,12,4.07501
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocAllocationExpression,0,4,56,4.01609
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocFieldReference,0,4,76,3.58431
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocMessageSend,0,3,56,1.5732
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocParamNameReference,0,7,17,3.58431
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocQualifiedTypeReference,0,3,56,1.5732
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocSingleTypeReference,0,3,55,1.5732
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocTag,1,3,115,4.63008
org::eclipse::jdt::internal::codeassist::complete::CompletionOnJavadocTypeParamReference,0,3,17,3.58431
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword1,0,2,23,6.93237
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword2,0,2,18,8.05174
org::eclipse::jdt::internal::codeassist::complete::CompletionOnKeyword3,0,2,21,6.93237
org::eclipse::jdt::internal::codeassist::complete::CompletionOnLocalName,0,2,25,6.20089
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMarkerAnnotationName,0,1,15,6.94335
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberAccess,0,3,38,9.27985
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMemberValueName,0,0,9,0
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMessageSend,0,2,41,10.696
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMessageSendName,0,2,44,2.07169
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodName,0,0,31,4.07501
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodReturnType,0,1,12,4.07501
org::eclipse::jdt::internal::codeassist::complete::CompletionOnMethodTypeParameter,0,1,22,7.8386
org::eclipse::jdt::internal::codeassist::complete::CompletionOnPackageReference,0,0,12,5.19438
org::eclipse::jdt::internal::codeassist::complete::CompletionOnParameterizedQualifiedTypeReference,0,2,67,9.69849
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedAllocationExpression,0,0,32,4.07501
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedNameReference,0,5,36,14.5866
org::eclipse::jdt::internal::codeassist::complete::CompletionOnQualifiedTypeReference,0,3,63,12.2036
org::eclipse::jdt::internal::codeassist::complete::CompletionOnSingleNameReference,0,3,17,9.52046
org::eclipse::jdt::internal::codeassist::complete::CompletionOnSingleTypeReference,0,5,63,12.52
org::eclipse::jdt::internal::codeassist::complete::CompletionOnStringLiteral,0,1,13,0
org::eclipse::jdt::internal::codeassist::complete::CompletionParser,1,102,4390,37.9039
org::eclipse::jdt::internal::codeassist::complete::CompletionScanner,0,24,796,19.3371
org::eclipse::jdt::internal::codeassist::complete::InvalidCursorLocation,0,0,3,4.07501
org::eclipse::jdt::internal::codeassist::CompletionElementNotifier,0,1,136,0
org::eclipse::jdt::internal::codeassist::CompletionEngine,7,205,7341,48.228
org::eclipse::jdt::internal::codeassist::CompletionRequestorWrapper,1,0,306,4.07501
org::eclipse::jdt::internal::codeassist::CompletionUnitStructureRequestor,0,2,128,1.29357
org::eclipse::jdt::internal::codeassist::impl::AssistAnnotation,0,1,7,0
org::eclipse::jdt::internal::codeassist::impl::AssistCompilationUnit,0,1,21,0
org::eclipse::jdt::internal::codeassist::impl::AssistImportContainer,0,1,10,0
org::eclipse::jdt::internal::codeassist::impl::AssistImportDeclaration,0,1,7,0
org::eclipse::jdt::internal::codeassist::impl::AssistInitializer,0,1,13,0
org::eclipse::jdt::internal::codeassist::impl::AssistOptions,0,8,155,14.1631
org::eclipse::jdt::internal::codeassist::impl::AssistPackageDeclaration,0,1,10,0
org::eclipse::jdt::internal::codeassist::impl::AssistParser,0,34,1384,21.8696
org::eclipse::jdt::internal::codeassist::impl::AssistSourceField,0,2,41,1.29357
org::eclipse::jdt::internal::codeassist::impl::AssistSourceMethod,0,2,44,1.29357
org::eclipse::jdt::internal::codeassist::impl::AssistSourceType,0,3,59,2.35255
org::eclipse::jdt::internal::codeassist::impl::AssistTypeParameter,0,1,7,0
org::eclipse::jdt::internal::codeassist::impl::Engine,1,20,230,20.393
org::eclipse::jdt::internal::codeassist::InternalCompletionContext,1,12,48,9.68336
org::eclipse::jdt::internal::codeassist::InternalCompletionProposal,1,5,127,10.0703
org::eclipse::jdt::internal::codeassist::InternalExtendedCompletionContext,2,4,648,2.38886
org::eclipse::jdt::internal::codeassist::MissingTypesGuesser,0,3,186,2.51582
org::eclipse::jdt::internal::codeassist::select::SelectionJavadoc,0,3,80,4.59811
org::eclipse::jdt::internal::codeassist::select::SelectionJavadocParser,0,4,123,10.1241
org::eclipse::jdt::internal::codeassist::select::SelectionNodeFound,0,2,4,4.07501
org::eclipse::jdt::internal::codeassist::select::SelectionOnArgumentName,0,1,26,4.07501
org::eclipse::jdt::internal::codeassist::select::SelectionOnExplicitConstructorCall,0,1,34,4.07501
org::eclipse::jdt::internal::codeassist::select::SelectionOnFieldReference,0,1,23,4.07501
org::eclipse::jdt::internal::codeassist::select::SelectionOnFieldType,0,1,10,4.07501
org::eclipse::jdt::internal::codeassist::select::SelectionOnImportReference,0,0,12,4.07501
org::eclipse::jdt::internal::codeassist::select::SelectionOnLocalName,0,2,24,6.20089
org::eclipse::jdt::internal::codeassist::select::SelectionOnMessageSend,0,2,65,4.98614
org::eclipse::jdt::internal::codeassist::select::SelectionOnNameOfMemberValuePair,0,0,17,4.07501
org::eclipse::jdt::internal::codeassist::select::SelectionOnPackageReference,0,0,11,5.19438
org::eclipse::jdt::internal::codeassist::select::SelectionOnParameterizedQualifiedTypeReference,0,3,43,9.21398
org::eclipse::jdt::internal::codeassist::select::SelectionOnParameterizedSingleTypeReference,0,0,21,4.07501
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedAllocationExpression,0,4,59,9.07976
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedNameReference,0,4,42,6.73444
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedSuperReference,0,1,16,4.07501
org::eclipse::jdt::internal::codeassist::select::SelectionOnQualifiedTypeReference,0,3,38,6.70304
org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleNameReference,0,3,40,7.99656
org::eclipse::jdt::internal::codeassist::select::SelectionOnSingleTypeReference,0,3,35,6.70304
org::eclipse::jdt::internal::codeassist::select::SelectionOnSuperReference,0,1,16,4.07501
org::eclipse::jdt::internal::codeassist::select::SelectionParser,1,25,1189,19.7948
org::eclipse::jdt::internal::codeassist::select::SelectionScanner,0,1,31,4.07501
org::eclipse::jdt::internal::codeassist::SelectionEngine,1,56,1189,32.2544
org::eclipse::jdt::internal::codeassist::ThrownExceptionFinder,0,3,75,1.26759
org::eclipse::jdt::internal::codeassist::UnresolvedReferenceNameFinder,0,7,321,7.9636
org::eclipse::jdt::internal::compiler::AbstractAnnotationProcessorManager,0,2,0,5.54249
org::eclipse::jdt::internal::compiler::ast::AbstractMethodDeclaration,0,35,314,24.8564
org::eclipse::jdt::internal::compiler::ast::AbstractVariableDeclaration,0,1,57,6.20089
org::eclipse::jdt::internal::compiler::ast::AllocationExpression,1,20,337,24.5715
org::eclipse::jdt::internal::compiler::ast::AND_AND_Expression,0,12,230,12.0762
org::eclipse::jdt::internal::compiler::ast::Annotation,1,26,357,27.4521
org::eclipse::jdt::internal::compiler::ast::AnnotationMethodDeclaration,0,2,128,7.51373
org::eclipse::jdt::internal::compiler::ast::Argument,0,13,132,20.4932
org::eclipse::jdt::internal::compiler::ast::ArrayAllocationExpression,0,5,142,9.13341
org::eclipse::jdt::internal::compiler::ast::ArrayInitializer,0,17,195,20.2492
org::eclipse::jdt::internal::compiler::ast::ArrayQualifiedTypeReference,0,4,62,7.282
org::eclipse::jdt::internal::compiler::ast::ArrayReference,0,10,158,17.5763
org::eclipse::jdt::internal::compiler::ast::ArrayTypeReference,0,4,52,6.73444
org::eclipse::jdt::internal::compiler::ast::AssertStatement,2,9,163,14.8017
org::eclipse::jdt::internal::compiler::ast::Assignment,0,28,221,27.6825
org::eclipse::jdt::internal::compiler::ast::ASTNode,1,55,484,37.8606
org::eclipse::jdt::internal::compiler::ast::BinaryExpression,0,18,1782,19.8456
org::eclipse::jdt::internal::compiler::ast::Block,0,5,97,5.26853
org::eclipse::jdt::internal::compiler::ast::BranchStatement,0,10,39,11.17
org::eclipse::jdt::internal::compiler::ast::BreakStatement,0,6,72,7.32455
org::eclipse::jdt::internal::compiler::ast::CaseStatement,0,15,96,21.1473
org::eclipse::jdt::internal::compiler::ast::CastExpression,1,50,431,34.6202
org::eclipse::jdt::internal::compiler::ast::CharLiteral,0,1,72,7.18983
org::eclipse::jdt::internal::compiler::ast::ClassLiteralAccess,0,9,72,23.7357
org::eclipse::jdt::internal::compiler::ast::Clinit,2,14,231,15.4387
org::eclipse::jdt::internal::compiler::ast::CombinedBinaryExpression,0,4,266,3.63513
org::eclipse::jdt::internal::compiler::ast::CompilationUnitDeclaration,2,29,536,30.7687
org::eclipse::jdt::internal::compiler::ast::CompoundAssignment,0,6,150,13.7206
org::eclipse::jdt::internal::compiler::ast::ConditionalExpression,0,24,445,20.8651
org::eclipse::jdt::internal::compiler::ast::ConstructorDeclaration,3,40,437,29.7618
org::eclipse::jdt::internal::compiler::ast::ContinueStatement,0,6,75,7.3557
org::eclipse::jdt::internal::compiler::ast::DoStatement,0,17,163,14.2097
org::eclipse::jdt::internal::compiler::ast::DoubleLiteral,0,2,85,7.15525
org::eclipse::jdt::internal::compiler::ast::EmptyStatement,0,1,32,7.98927
org::eclipse::jdt::internal::compiler::ast::EqualExpression,0,21,799,19.5457
org::eclipse::jdt::internal::compiler::ast::ExplicitConstructorCall,1,21,364,23.2611
org::eclipse::jdt::internal::compiler::ast::Expression,0,57,760,33.6845
org::eclipse::jdt::internal::compiler::ast::ExtendedStringLiteral,0,3,29,5.19438
org::eclipse::jdt::internal::compiler::ast::FalseLiteral,0,2,38,7.2883
org::eclipse::jdt::internal::compiler::ast::FieldDeclaration,0,41,241,30.6378
org::eclipse::jdt::internal::compiler::ast::FieldReference,6,43,547,27.3399
org::eclipse::jdt::internal::compiler::ast::FloatLiteral,0,2,85,7.15525
org::eclipse::jdt::internal::compiler::ast::ForeachStatement,2,24,451,23.6077
org::eclipse::jdt::internal::compiler::ast::ForStatement,0,18,343,16.4642
org::eclipse::jdt::internal::compiler::ast::IfStatement,0,15,192,13.3833
org::eclipse::jdt::internal::compiler::ast::ImportReference,0,2,35,7.7102
org::eclipse::jdt::internal::compiler::ast::Initializer,0,4,81,7.6133
org::eclipse::jdt::internal::compiler::ast::InstanceOfExpression,1,13,70,16.213
org::eclipse::jdt::internal::compiler::ast::IntLiteral,0,4,110,9.8326
org::eclipse::jdt::internal::compiler::ast::IntLiteralMinValue,0,0,7,4.08525
org::eclipse::jdt::internal::compiler::ast::Javadoc,3,48,708,24.4246
org::eclipse::jdt::internal::compiler::ast::JavadocAllocationExpression,0,27,142,21.221
org::eclipse::jdt::internal::compiler::ast::JavadocArgumentExpression,0,15,66,19.225
org::eclipse::jdt::internal::compiler::ast::JavadocArrayQualifiedTypeReference,0,6,13,6.60309
org::eclipse::jdt::internal::compiler::ast::JavadocArraySingleTypeReference,0,6,14,6.60309
org::eclipse::jdt::internal::compiler::ast::JavadocFieldReference,1,22,87,20.2148
org::eclipse::jdt::internal::compiler::ast::JavadocImplicitTypeReference,0,9,91,17.2339
org::eclipse::jdt::internal::compiler::ast::JavadocMessageSend,0,28,174,22.6963
org::eclipse::jdt::internal::compiler::ast::JavadocQualifiedTypeReference,0,23,48,17.6478
org::eclipse::jdt::internal::compiler::ast::JavadocReturnStatement,0,13,29,11.4634
